sigma,n,len_B,k,Rand-Sample,Approx,LS2,LS4,ILP,Adapt-Cmsa
8,16,9,8,11,11,11,11,11,11
32,64,22,33,43,43,43,43,43,43
24,48,10,29,33,33,33,33,33,33
4,32,7,21,27,26,27,27,27,27
16,64,13,51,54,54,54,54,54,54
10,80,49,23,57,59,59,58,59,59
32,64,32,29,46,45,46,45,46,46
12,48,29,26,42,44,44,43,44,44
6,48,10,39,46,47,47,46,47,47
2,16,3,11,13,13,13,13,13,13
40,80,53,30,58,59,59,59,59,58
32,64,36,29,50,51,51,51,51,51
8,64,31,34,51,51,51,51,52,52
12,48,22,26,40,39,40,39,40,40
4,16,6,7,12,12,12,12,12,12
8,32,13,21,24,23,24,23,24,24
8,16,6,11,11,10,11,11,11,11
40,80,27,56,65,64,65,64,65,65
8,64,12,48,54,53,54,54,54,54
4,32,14,24,32,32,31,31,32,32
20,80,50,35,59,59,60,60,60,60
4,32,19,13,29,29,28,28,30,30
8,32,19,13,27,27,27,26,27,27
6,48,13,38,46,46,46,45,46,46
2,16,8,7,14,14,14,14,14,14
8,64,45,21,52,56,56,56,56,56
12,48,24,32,45,44,45,44,45,44
10,80,24,54,65,65,65,65,66,66
8,32,13,15,25,25,25,25,25,25
12,48,19,23,36,37,37,37,37,37
4,32,15,16,28,29,28,28,29,29
10,80,36,52,69,69,68,70,71,71
10,80,40,44,65,68,67,68,69,69
10,80,52,30,62,63,62,62,64,64
20,80,26,50,62,62,62,62,63,63
6,48,32,24,46,48,47,47,48,48
32,64,41,23,47,47,47,46,47,47
16,64,44,24,47,46,47,47,48,48
16,64,21,49,55,55,55,54,55,55
8,64,21,44,57,58,58,58,58,58
32,64,38,28,45,46,46,46,46,46
40,80,32,55,65,65,65,65,65,65
12,48,27,31,46,46,46,45,46,46
6,48,13,32,41,40,40,39,41,41
24,48,17,33,37,37,37,37,37,37
24,48,34,20,36,35,36,36,36,36
4,16,8,7,15,15,15,13,15,15
8,32,17,15,26,26,26,24,26,26
40,80,17,71,67,67,67,67,67,67
40,80,18,60,60,60,60,60,60,60
16,32,10,19,21,21,21,21,21,21
2,16,10,8,16,16,16,16,16,16
8,16,10,9,15,15,15,15,15,15
24,48,20,28,40,40,39,38,40,40
32,64,28,46,49,48,49,49,49,49
8,16,4,8,11,11,11,11,11,11
6,48,13,31,41,40,41,40,41,41
4,32,23,11,26,25,26,26,27,27
4,32,8,24,29,27,29,29,29,29
40,80,51,36,65,65,65,65,65,64
6,48,38,16,38,37,37,38,39,39
4,16,3,8,11,11,11,11,11,11
12,48,31,20,41,41,41,41,41,41
4,16,8,7,14,14,14,14,14,14
40,80,23,53,60,59,60,60,60,60
32,64,41,26,53,54,54,54,54,53
24,48,10,37,36,36,36,36,36,36
8,16,6,10,15,15,15,15,15,15
6,48,24,29,44,42,43,43,44,44
40,80,53,34,62,62,63,63,63,63
4,16,6,8,12,12,12,12,12,12
10,80,39,40,63,63,63,63,63,63
2,16,8,8,14,14,14,14,14,14
8,16,7,8,12,12,12,12,12,12
4,32,20,13,29,29,29,29,29,29
8,64,27,42,55,57,58,56,58,58
16,32,14,20,28,27,28,28,28,28
10,80,36,55,69,70,69,69,71,71
6,48,12,39,45,44,44,44,45,45
2,16,6,9,14,14,14,14,14,14
4,32,16,26,32,32,32,32,32,32
4,32,15,10,23,23,23,23,23,23
4,16,4,10,13,13,13,13,13,13
4,16,10,8,12,12,12,12,12,12
6,48,26,14,36,36,36,36,36,36
20,80,25,61,72,73,73,73,73,73
16,32,10,21,25,25,25,25,25,25
4,16,10,8,13,13,13,13,13,13
10,80,37,52,71,74,74,72,75,74
10,80,49,24,57,59,59,58,59,59
6,48,23,24,41,41,41,41,41,41
20,80,35,42,63,63,63,63,63,63
4,16,10,8,15,15,15,14,15,15
12,48,18,28,38,38,38,38,38,38
10,80,44,32,58,58,57,58,59,59
24,48,19,30,37,37,37,37,37,37
10,80,29,53,71,71,71,71,71,71
4,16,8,11,14,14,14,14,14,14
4,16,6,11,15,15,15,15,15,15
6,48,21,29,43,44,44,44,44,44
2,16,5,4,9,9,9,9,9,9
8,64,34,26,50,54,53,53,54,54
6,48,22,32,43,43,42,43,43,43
20,80,40,38,62,64,64,64,65,65
32,64,32,28,44,44,44,44,44,44
12,48,16,32,40,40,40,40,40,40
4,32,13,16,25,25,25,25,25,25
32,64,20,44,52,51,51,51,52,52
8,32,14,19,28,28,28,28,28,28
8,64,28,36,56,58,57,55,58,58
4,32,9,19,28,28,28,28,28,28
20,80,22,64,72,73,73,73,73,73
20,80,50,36,65,66,66,65,66,66
8,16,3,14,15,15,15,15,15,15
2,16,9,11,16,16,16,16,16,16
10,80,25,58,68,70,70,69,70,70
10,80,21,59,68,69,67,68,69,69
32,64,27,41,52,51,52,53,52,52
24,48,29,16,35,35,35,35,35,35
8,16,4,10,11,11,11,11,11,11
8,16,8,6,13,13,13,13,13,13
8,32,9,18,24,24,23,23,24,24
12,48,23,22,40,40,40,40,40,40
8,64,46,22,50,51,52,52,52,52
16,64,36,27,46,46,47,45,47,47
2,16,12,7,16,16,15,15,16,16
12,48,21,29,40,40,41,41,41,41
16,32,23,9,23,23,23,23,23,23
8,16,8,12,15,15,15,14,15,15
2,16,3,11,13,13,13,13,13,13
20,80,31,44,58,59,59,59,59,59
40,80,52,30,56,56,57,57,57,56
4,16,10,7,13,13,13,13,13,13
20,80,49,21,55,55,55,55,55,55
10,80,60,25,66,69,70,67,72,72
40,80,60,15,54,54,54,54,54,53
8,16,9,7,13,13,13,13,13,13
16,32,14,14,24,24,24,22,24,24
4,32,19,11,25,25,25,24,25,25
8,32,20,13,27,26,27,27,27,27
6,48,26,25,42,42,42,41,43,43
6,48,14,40,47,47,47,47,47,47
4,32,7,19,26,26,26,26,26,26
4,32,9,22,27,27,27,26,27,27
4,16,7,8,12,12,12,12,12,12
32,64,26,36,52,51,51,51,52,52
24,48,25,23,33,33,33,32,33,33
8,16,10,5,10,10,10,10,10,10
32,64,23,44,56,57,57,57,57,57
8,64,34,34,55,57,56,56,57,57
10,80,44,40,67,70,70,69,71,71
16,32,11,22,27,27,27,26,27,27
12,48,27,17,36,36,36,36,36,36
6,48,23,22,39,40,39,39,40,40
8,64,28,30,52,54,53,53,54,54
4,16,9,14,15,15,15,15,15,15
2,16,4,10,14,14,14,14,14,14
16,32,13,21,29,29,29,28,29,29
40,80,22,59,62,61,62,62,62,62
2,16,5,11,16,16,16,16,16,16
24,48,19,26,32,32,31,31,32,32
6,48,22,28,42,42,43,42,43,43
16,32,20,10,22,22,22,22,22,22
16,64,15,46,52,52,52,52,52,52
40,80,45,35,59,59,59,59,59,59
8,64,21,42,54,55,55,55,55,55
32,64,39,22,47,47,47,47,47,47
8,64,39,25,51,51,52,52,52,52
20,80,46,32,62,62,63,62,63,63
16,64,25,38,52,50,52,51,52,52
16,64,28,43,56,57,57,56,57,57
10,80,42,45,70,72,73,71,73,73
2,16,8,7,15,15,15,15,15,15
40,80,51,21,56,56,55,53,56,56
40,80,44,43,63,61,61,60,63,63
24,48,12,34,36,36,36,36,36,36
16,32,18,17,27,27,27,26,27,27
2,16,9,9,15,15,15,15,15,15
12,48,27,27,41,41,41,41,41,41
20,80,34,43,59,60,60,58,60,60
8,64,31,39,58,57,57,58,59,59
12,48,24,21,38,38,38,38,38,37
10,80,36,37,61,63,62,62,63,63
32,64,26,39,51,51,51,51,51,51
6,48,17,28,41,41,42,41,42,42
8,16,5,9,13,13,13,13,13,13
8,64,24,36,51,52,51,52,52,52
6,48,27,24,42,43,42,40,43,43
8,32,12,20,28,28,28,28,28,28
8,64,20,49,58,58,56,56,58,58
8,64,36,34,56,58,59,58,59,59
4,32,14,21,29,28,29,29,29,29
16,64,27,37,52,52,52,52,52,52
16,32,6,25,26,26,26,26,26,26
20,80,27,52,63,63,63,63,64,64
20,80,42,41,62,61,62,62,62,62
40,80,28,50,59,58,59,59,59,59
4,32,14,20,30,31,30,30,31,31
20,80,44,32,61,63,62,62,63,62
8,16,7,13,14,14,13,13,14,14
8,64,41,18,49,49,49,48,49,49
6,48,24,25,40,40,40,40,41,41
24,48,17,29,37,37,37,37,37,37
16,32,22,12,24,24,23,23,24,24
4,32,20,18,31,31,31,31,31,31
2,16,6,10,14,14,14,14,14,14
2,16,4,14,15,15,15,15,15,15
16,32,8,20,20,19,20,20,20,20
8,16,4,13,12,12,12,12,12,12
4,32,17,17,29,29,29,29,29,29
4,32,16,17,29,30,30,29,30,30
32,64,39,22,41,41,41,41,41,40
12,48,12,35,40,39,40,40,40,40
20,80,31,46,61,61,60,61,61,61
20,80,31,48,64,66,66,66,66,66
8,16,11,6,10,10,10,10,10,10
4,16,9,6,12,11,11,12,12,12
16,32,17,11,23,23,23,22,23,23
4,32,20,8,25,25,25,25,25,25
8,64,19,48,57,58,57,57,58,58
32,64,41,25,51,50,50,50,51,51
32,64,30,40,52,52,52,52,52,52
40,80,48,31,55,54,55,55,55,53
8,64,34,26,50,52,52,51,52,52
4,16,4,8,10,10,10,10,10,10
32,64,42,28,54,54,54,54,54,54
8,64,39,20,49,50,50,50,50,50
16,64,28,33,48,48,48,48,48,48
10,80,52,32,63,66,66,64,66,66
16,64,12,54,57,56,57,57,57,57
16,32,13,22,26,26,26,26,26,26
8,64,19,58,62,61,61,61,62,62
20,80,31,43,65,66,67,66,67,67
8,16,5,10,12,12,12,12,12,12
6,48,29,18,36,38,37,36,38,38
16,64,29,33,50,50,50,50,50,50
2,16,10,8,14,13,14,14,14,14
40,80,35,51,62,62,62,62,62,62
4,16,8,5,12,12,12,12,12,12
24,48,17,24,32,32,32,32,32,32
4,16,9,9,14,14,14,14,14,14
8,16,5,10,12,12,12,12,12,12
8,16,4,13,16,16,16,16,16,16
32,64,32,31,49,48,49,49,49,49
8,32,21,7,25,25,25,25,25,25
2,16,11,10,16,16,16,16,16,16
4,32,18,14,27,27,26,27,27,27
4,16,3,12,14,14,14,14,14,14
8,32,17,12,26,26,25,24,26,26
20,80,48,24,51,52,52,52,52,52
40,80,43,40,59,60,60,60,60,60
4,32,10,18,27,27,27,27,27,27
4,32,17,11,26,26,26,25,26,26
4,16,8,5,11,11,11,10,11,11
8,32,12,16,23,23,23,23,23,23
8,16,9,5,11,11,11,11,11,11
16,64,23,39,51,51,52,50,52,52
2,16,7,9,13,13,13,13,13,13
40,80,69,14,58,58,58,58,58,58
32,64,22,37,43,44,44,44,44,44
8,32,12,22,28,27,27,26,28,28
16,64,22,31,46,46,45,46,46,46
8,16,4,11,15,15,15,15,15,15
32,64,28,43,55,55,55,55,55,55
8,64,31,31,52,53,53,53,54,54
40,80,20,59,61,60,60,60,61,61
10,80,57,31,67,66,68,68,68,68
8,64,27,37,56,57,58,58,59,59
10,80,52,31,63,69,69,69,70,70
10,80,39,41,67,67,69,69,69,69
12,48,33,12,36,36,36,36,36,36
4,32,17,12,26,26,26,26,26,26
6,48,17,30,39,39,39,39,39,39
16,32,19,11,20,20,20,20,20,20
40,80,32,47,63,63,62,61,63,63
10,80,25,60,70,70,69,70,70,70
16,32,15,20,24,24,24,24,24,24
8,32,19,10,25,25,24,25,25,25
8,32,16,11,24,23,23,23,24,24
16,32,21,14,29,29,29,29,29,29
10,80,46,38,66,68,67,66,68,68
16,32,19,15,26,26,26,26,26,26
16,64,23,42,51,50,51,51,51,51
4,32,18,11,26,26,27,25,27,27
16,32,11,15,22,22,22,22,22,22
16,64,32,31,52,52,52,53,53,53
40,80,36,41,54,54,54,54,54,54
8,64,17,42,52,52,52,51,52,52
4,32,21,12,28,29,29,27,29,29
16,32,16,17,27,27,27,26,27,27
8,16,9,9,15,15,15,14,15,15
2,16,11,9,16,16,16,16,16,16
4,32,15,16,29,29,28,29,29,29
10,80,47,35,63,68,67,65,69,69
16,32,14,18,26,26,26,26,26,26
6,48,28,17,38,38,38,38,38,38
8,64,44,24,54,55,54,54,55,55
16,32,9,21,23,23,23,23,23,23
12,48,28,24,39,40,40,39,40,40
12,48,27,23,38,38,38,38,38,38
10,80,42,43,68,74,72,72,74,74
12,48,19,30,43,43,43,43,43,43
16,32,12,16,22,22,22,22,22,22
16,32,13,16,25,25,25,25,25,25
10,80,18,58,64,63,62,62,65,65
32,64,36,21,42,42,41,41,42,42
8,64,30,34,53,55,55,55,56,56
2,16,7,8,15,15,15,15,15,15
10,80,31,49,68,69,70,70,71,71
2,16,8,8,16,16,16,15,16,16
32,64,22,43,46,45,45,46,46,46
8,32,10,16,23,23,23,22,23,23
8,32,21,10,22,22,22,21,22,22
40,80,36,46,59,59,58,58,60,60
24,48,26,34,44,44,44,43,44,44
16,64,41,22,47,47,47,47,48,48
24,48,20,25,36,36,36,36,36,36
32,64,26,38,50,51,51,50,51,51
10,80,41,36,62,64,65,63,65,65
16,32,11,16,21,21,21,21,21,21
20,80,48,38,63,64,63,63,64,64
2,16,5,12,15,15,15,15,15,15
4,16,9,8,14,14,14,14,14,14
32,64,36,31,48,48,48,48,48,48
4,32,19,13,28,27,27,27,28,28
8,64,24,39,53,53,53,54,54,54
16,32,19,17,24,23,24,24,24,24
2,16,4,7,11,11,11,11,11,11
8,16,4,9,11,10,11,11,11,11
12,48,17,32,40,39,39,39,40,40
10,80,31,44,63,65,64,63,65,65
6,48,33,21,44,46,44,45,47,47
16,64,27,36,50,51,51,51,51,51
8,32,11,17,25,25,25,25,25,25
10,80,37,49,68,71,70,69,71,71
10,80,20,55,66,66,66,65,67,67
4,16,6,11,15,15,15,14,15,15
40,80,51,34,61,61,61,60,61,61
24,48,32,15,34,33,33,33,34,34
32,64,15,46,44,44,44,43,44,44
10,80,33,42,62,65,65,62,65,65
40,80,54,28,57,57,56,57,57,57
16,64,17,50,52,52,52,52,52,52
16,32,18,14,24,24,23,23,24,24
16,64,40,26,50,51,51,50,51,51
8,32,13,19,25,25,25,25,25,25
24,48,8,41,38,38,38,38,38,38
8,16,5,11,14,14,14,14,14,14
4,16,6,10,14,14,14,14,14,14
24,48,21,30,40,39,40,40,40,40
16,32,22,10,22,22,22,22,22,22
32,64,29,32,43,43,43,43,43,43
8,64,40,27,54,55,55,54,55,55
8,64,33,35,54,55,55,54,55,55
16,64,21,41,51,52,52,52,52,52
2,16,9,4,13,13,13,13,13,13
6,48,19,32,44,45,45,45,45,45
24,48,24,23,35,35,35,35,35,35
8,32,14,12,21,21,21,21,21,21
8,16,6,9,13,13,12,12,13,13
6,48,20,28,44,45,45,44,45,45
16,64,18,42,48,48,48,48,48,48
16,64,31,32,49,50,50,50,50,50
16,64,33,34,54,55,54,53,55,55
16,32,19,13,25,25,25,25,25,25
32,64,41,20,47,47,47,47,47,47
20,80,42,38,60,62,62,61,62,62
8,32,12,20,26,26,26,25,26,26
12,48,15,32,41,41,41,40,41,41
8,32,15,14,24,24,24,24,24,24
4,16,6,11,13,13,13,13,13,13
40,80,43,42,60,61,61,60,61,61
16,64,32,36,54,55,55,55,56,56
40,80,27,47,54,54,54,54,54,54
16,32,14,18,24,24,24,23,24,24
8,32,13,19,28,28,28,28,28,28
16,64,25,43,55,55,55,55,55,55
8,32,14,17,25,25,25,25,25,25
4,16,9,10,14,14,14,14,14,14
8,16,5,11,15,15,15,14,15,15
40,80,55,25,58,58,58,57,58,58
16,32,10,25,27,26,27,27,27,27
10,80,36,52,69,69,68,69,71,71
10,80,23,53,65,65,65,64,66,66
12,48,18,28,38,39,39,39,39,39
8,64,32,32,54,56,55,56,56,56
16,32,22,9,21,20,21,21,21,21
16,32,16,18,24,24,24,24,24,24
4,16,9,10,14,14,14,14,14,14
8,16,7,6,12,12,12,12,12,12
12,48,27,21,36,35,35,36,36,36
16,64,16,54,58,58,58,57,58,58
6,48,24,19,37,37,35,35,37,37
4,16,10,8,14,13,13,14,14,14
12,48,29,20,40,42,42,41,42,42
6,48,27,27,44,44,44,44,44,44
24,48,28,22,39,40,40,41,40,40
8,16,7,9,14,14,14,14,14,14
2,16,8,10,14,14,14,14,14,14
16,64,25,42,51,51,51,51,51,51
20,80,44,40,61,61,61,59,63,63
4,32,9,23,30,30,29,29,30,30
24,48,19,29,39,38,39,39,39,39
20,80,24,43,54,54,54,53,54,54
10,80,16,60,69,68,67,67,70,70
32,64,23,42,48,47,48,48,48,48
16,32,14,19,26,26,26,26,26,26
16,32,14,20,26,26,26,26,26,26
16,64,30,34,52,52,51,51,52,52
8,32,19,13,27,27,26,26,27,27
4,32,9,19,26,26,26,26,26,26
16,32,23,9,23,22,23,22,23,23
40,80,27,56,64,62,63,63,64,64
8,16,9,5,10,10,10,10,10,10
6,48,29,17,37,38,38,36,38,38
24,48,17,25,35,35,35,35,35,35
2,16,6,11,15,14,15,15,15,15
4,32,18,12,28,29,29,27,29,29
40,80,40,33,57,56,56,56,57,56
20,80,54,32,62,63,63,63,63,63
24,48,13,28,35,35,35,35,35,35
20,80,44,33,62,64,65,65,65,65
40,80,52,32,65,65,65,65,66,66
8,64,32,35,56,56,57,57,59,59
8,32,16,18,27,27,27,27,27,27
2,16,5,8,13,13,13,13,13,13
2,16,3,10,13,13,13,13,13,13
6,48,31,25,44,45,45,45,45,45
8,64,26,35,51,51,51,51,52,52
40,80,44,39,61,62,62,61,62,62
6,48,24,16,34,33,33,33,34,34
20,80,45,42,66,69,69,67,69,69
16,64,31,41,57,58,57,58,58,57
16,32,17,18,26,26,26,26,26,26
8,32,15,23,30,29,29,29,30,30
40,80,29,40,51,51,51,52,51,51
16,64,34,33,51,51,51,51,51,51
16,32,14,15,22,22,22,22,22,22
4,16,7,7,14,14,14,13,14,14
4,32,12,26,32,31,32,32,32,32
8,32,12,22,29,29,29,29,29,29
6,48,20,30,42,42,43,42,43,43
40,80,30,46,58,59,59,59,59,59
8,64,22,44,56,57,56,56,57,57
32,64,26,40,49,49,49,49,49,49
32,64,48,19,48,48,49,48,49,49
6,48,19,28,41,41,41,41,41,41
16,32,22,16,27,27,27,27,27,27
12,48,37,13,37,37,37,37,37,37
16,64,32,33,49,48,48,48,50,50
16,64,24,38,54,54,53,53,54,54
4,32,12,21,29,29,29,29,29,29
10,80,53,20,60,61,61,61,61,60
20,80,41,42,66,68,68,67,68,67
4,16,4,13,14,14,14,14,14,14
16,32,18,10,22,22,22,22,22,22
8,32,18,11,23,23,23,23,23,23
6,48,11,35,41,41,41,40,41,41
8,16,8,9,13,12,13,13,13,13
10,80,34,39,59,59,60,60,60,60
24,48,30,20,34,33,34,34,34,34
2,16,6,8,14,14,14,14,14,14
24,48,25,22,33,33,33,33,33,33
8,64,18,44,54,54,54,54,54,54
8,32,20,15,27,26,27,27,27,27
16,32,11,21,24,24,24,24,24,24
8,16,7,8,11,11,11,11,11,11
8,32,15,15,26,25,25,25,26,26
8,64,22,40,53,54,53,54,54,54
32,64,21,44,52,52,52,52,52,52
40,80,37,44,59,59,59,60,59,59
8,32,12,23,27,26,26,26,27,27
24,48,29,12,35,35,35,35,35,35
12,48,30,17,37,37,37,37,37,37
40,80,34,45,65,65,65,64,65,65
16,32,13,16,23,23,22,23,23,23
20,80,48,38,64,65,64,64,65,65
24,48,28,22,38,37,37,38,38,38
16,64,29,39,52,52,53,52,53,53
16,64,36,24,48,47,47,47,48,48
4,16,5,12,14,14,14,13,14,14
40,80,40,23,50,50,50,50,50,49
8,64,37,28,54,55,54,54,57,57
20,80,34,45,65,66,65,64,66,66
16,32,11,19,24,23,24,24,24,24
2,16,11,8,15,14,14,14,15,15
12,48,18,28,39,39,38,39,39,39
40,80,39,46,59,58,59,59,59,59
2,16,9,5,14,14,14,14,14,14
8,32,13,30,31,31,30,30,31,31
2,16,7,9,14,14,14,14,14,14
20,80,59,26,59,59,59,58,59,59
32,64,37,29,47,48,47,47,48,48
12,48,21,22,39,39,39,39,39,39
32,64,20,45,53,54,54,53,54,54
20,80,49,25,57,60,60,58,60,59
8,16,10,8,13,13,13,13,13,13
32,64,31,41,54,54,54,54,54,54
8,16,7,10,14,14,14,14,14,14
24,48,21,24,36,36,36,36,36,36
