sigma,n,len_B,k,Rand-Sample,Approx,LS2,LS4,ILP,Adapt-Cmsa
32,64,17,41,48,48,47,47,48,48
8,32,21,11,27,27,27,27,27,27
8,32,9,21,28,28,27,27,28,28
32,64,34,28,51,51,52,51,52,52
12,48,19,29,38,38,38,38,38,38
16,64,37,28,50,51,51,50,51,51
4,16,11,5,13,12,13,13,13,13
16,32,17,13,24,24,24,24,24,24
24,48,31,23,39,38,39,39,39,39
10,80,47,38,70,71,72,71,74,74
6,48,33,19,42,42,42,42,44,44
16,32,8,22,25,24,24,24,25,25
2,16,4,12,15,15,15,15,15,15
40,80,46,38,58,60,60,58,60,60
8,64,30,43,58,59,59,59,59,59
2,16,6,10,14,14,14,14,14,14
16,32,7,27,28,28,28,28,28,28
4,32,15,12,25,25,25,25,25,25
10,80,58,25,63,66,66,65,66,66
24,48,28,21,39,39,39,39,39,39
10,80,59,23,66,69,69,68,69,69
8,16,12,9,16,16,16,15,16,16
32,64,24,41,52,52,52,52,52,52
16,32,14,13,22,22,22,22,22,22
8,64,31,30,52,52,51,51,52,52
16,64,24,32,48,48,50,49,50,50
12,48,19,28,41,41,40,40,41,41
12,48,25,23,37,37,38,38,38,38
4,32,16,19,29,29,29,29,29,29
8,32,11,29,31,31,31,31,31,31
4,16,5,12,13,13,13,13,13,13
40,80,36,51,67,67,67,67,67,67
6,48,12,31,37,37,37,37,37,37
8,32,14,16,26,26,26,26,26,26
24,48,15,32,35,34,35,36,35,35
40,80,35,48,58,58,57,57,58,58
8,32,9,17,25,25,24,25,25,25
16,32,6,26,26,26,26,26,26,26
24,48,18,34,42,42,42,42,42,42
8,64,34,31,52,51,53,51,54,54
40,80,35,42,60,59,60,59,60,60
4,32,11,16,25,25,25,25,25,25
8,32,15,19,28,28,27,27,28,28
8,16,6,9,12,12,12,12,12,12
8,64,30,34,55,59,57,57,59,59
32,64,14,48,43,43,43,43,43,43
8,32,17,14,25,24,25,24,25,25
16,32,16,16,27,27,27,27,27,27
20,80,32,50,58,60,59,58,60,60
16,64,27,42,53,54,54,53,54,54
8,64,43,17,48,51,50,49,51,51
32,64,24,39,44,44,44,44,44,44
10,80,55,31,64,68,67,65,68,68
40,80,36,43,58,58,58,58,58,58
32,64,22,42,52,52,52,51,52,52
6,48,12,34,43,43,43,43,43,43
12,48,14,29,38,37,38,38,38,38
4,32,15,15,28,28,28,28,28,28
8,16,8,7,12,12,12,12,12,12
20,80,36,48,65,64,66,66,66,66
16,64,24,46,55,56,55,53,56,56
20,80,28,54,63,62,63,63,64,64
16,64,35,21,47,47,47,46,47,47
40,80,42,33,57,58,58,58,59,59
4,32,18,14,30,30,30,29,30,30
8,64,36,27,51,55,53,54,55,55
4,32,7,23,29,29,29,29,29,29
10,80,49,32,59,61,61,61,63,63
4,16,6,8,13,13,13,13,13,13
24,48,15,32,35,33,34,35,35,35
24,48,28,19,33,33,33,33,33,33
10,80,34,48,70,70,70,70,70,70
8,16,6,12,13,13,13,13,13,13
10,80,33,50,66,68,66,67,68,68
8,32,8,19,27,27,27,27,27,27
20,80,37,42,66,66,67,67,67,67
8,64,26,42,56,58,57,57,58,58
20,80,46,38,59,59,60,60,60,60
24,48,22,20,34,34,34,34,34,34
4,32,20,13,27,27,27,27,27,27
10,80,44,37,64,67,67,65,67,67
10,80,43,33,60,62,62,62,62,62
2,16,8,7,15,15,14,14,15,15
10,80,23,56,69,71,69,69,71,71
4,32,4,29,29,29,29,29,29,29
40,80,28,52,58,58,58,57,58,58
16,32,14,26,25,25,25,25,25,25
24,48,22,27,38,38,37,37,38,38
12,48,19,33,44,45,45,45,45,45
12,48,26,21,37,38,38,38,38,38
2,16,5,9,13,13,13,13,13,13
32,64,25,34,48,48,48,49,48,48
40,80,39,35,59,61,61,60,61,61
8,64,30,33,53,56,53,53,56,56
8,64,43,27,57,58,59,57,60,60
16,32,8,17,20,20,20,20,20,20
40,80,32,44,61,61,62,62,62,62
20,80,45,24,49,50,49,49,50,50
4,16,4,10,13,13,13,13,13,13
4,32,21,13,29,30,30,30,30,30
24,48,20,31,41,40,41,40,41,41
2,16,5,5,10,10,10,10,10,10
10,80,47,38,67,67,69,68,69,69
16,64,31,30,50,51,51,50,51,51
4,16,7,12,14,14,14,14,14,14
32,64,47,20,48,48,47,47,48,48
24,48,26,17,34,34,34,34,34,34
12,48,20,25,36,36,37,36,37,37
4,32,18,13,28,29,29,29,29,29
10,80,15,74,74,74,74,74,74,74
20,80,54,28,62,64,64,63,64,64
2,16,9,4,13,13,13,13,13,13
4,32,13,22,30,30,30,30,30,30
4,16,9,7,14,14,14,14,14,14
20,80,42,49,69,70,70,70,71,71
8,32,21,7,24,24,24,24,24,24
6,48,15,37,43,44,44,44,45,45
4,16,8,11,16,16,16,16,16,16
40,80,31,50,64,64,64,64,64,64
6,48,19,28,43,43,43,42,44,44
4,16,10,6,14,14,13,13,14,14
2,16,9,9,16,16,16,16,16,16
16,32,19,18,30,30,30,29,30,30
12,48,17,36,42,42,42,42,42,42
12,48,36,17,37,38,37,37,38,37
6,48,11,36,42,41,42,42,42,42
16,32,23,11,25,24,25,25,25,25
12,48,27,19,39,40,40,39,40,40
4,32,9,21,29,30,30,30,30,30
16,64,37,21,46,46,46,46,46,46
8,64,35,29,52,52,53,53,53,52
4,32,15,13,28,28,28,26,28,28
10,80,23,61,71,71,70,71,71,71
24,48,12,34,37,37,37,37,37,37
12,48,32,14,30,30,30,30,30,30
24,48,36,19,37,36,37,37,37,37
16,32,11,21,25,24,25,25,25,25
6,48,31,16,40,40,40,40,40,40
10,80,38,42,67,70,71,70,71,71
16,64,26,38,54,54,54,53,54,54
8,32,7,22,24,23,24,23,24,24
8,16,8,7,14,14,14,12,14,14
8,32,11,22,27,26,26,26,27,27
2,16,4,7,11,11,11,11,11,11
20,80,23,57,67,67,67,67,67,67
4,32,23,11,28,27,29,27,29,29
10,80,28,45,60,61,61,61,61,61
8,64,48,15,50,51,51,51,52,52
4,32,8,20,25,25,25,25,25,25
10,80,42,42,66,70,70,70,71,71
20,80,34,39,59,59,60,60,61,61
8,16,5,8,10,10,10,10,10,10
8,16,9,9,13,13,13,13,13,13
12,48,32,17,38,39,39,38,39,39
6,48,24,24,42,44,44,44,44,44
40,80,32,55,58,58,58,58,58,58
40,80,21,65,66,66,65,65,66,66
32,64,36,21,42,42,42,41,42,42
8,32,19,12,25,25,26,26,26,26
16,64,31,33,53,54,53,53,54,54
4,16,9,8,15,15,15,15,15,15
4,16,6,10,14,14,14,14,14,14
4,16,12,5,14,14,14,13,14,14
32,64,40,26,50,50,49,49,50,50
16,64,21,41,52,51,52,51,52,52
20,80,28,51,64,64,65,65,65,65
8,32,11,19,26,26,26,26,26,26
2,16,12,7,15,15,15,15,15,15
4,16,10,10,16,16,16,16,16,16
4,16,7,7,11,11,11,11,11,11
8,32,10,17,26,26,26,25,26,26
20,80,46,40,62,62,63,63,63,63
8,32,16,14,23,23,23,23,23,23
12,48,13,25,32,31,32,32,32,32
24,48,36,10,35,35,35,35,35,35
32,64,19,45,48,48,48,48,48,48
6,48,17,29,40,39,40,38,41,41
8,64,19,41,53,54,53,54,54,54
20,80,57,27,63,65,65,63,65,65
2,16,10,6,15,15,15,15,15,15
4,32,15,15,28,28,28,28,28,28
8,16,6,10,12,12,12,12,12,12
32,64,38,30,47,47,47,47,47,47
24,48,26,24,36,36,36,36,36,36
10,80,59,19,59,61,60,60,61,61
16,64,38,27,51,50,50,50,51,51
20,80,29,49,65,67,68,68,68,68
2,16,12,8,16,16,16,16,16,16
4,16,11,6,14,14,14,13,14,14
8,16,6,12,15,15,15,15,15,15
20,80,55,31,62,64,64,64,64,63
32,64,36,27,49,49,49,49,49,49
4,32,10,18,23,23,23,23,23,23
24,48,17,30,37,37,37,37,37,37
12,48,14,33,35,35,35,35,35,35
20,80,48,25,58,61,61,59,61,61
10,80,23,60,72,71,71,73,73,73
4,32,15,12,26,26,26,26,26,26
8,64,20,39,51,50,50,50,51,51
32,64,50,16,48,47,48,48,48,48
12,48,23,25,40,40,40,40,40,40
12,48,31,18,37,37,37,38,38,38
10,80,24,63,72,72,73,73,74,74
12,48,33,18,39,41,41,39,41,41
8,32,17,17,28,27,28,27,28,28
16,64,36,27,50,51,51,51,51,51
16,64,43,25,52,53,53,53,53,52
24,48,18,30,36,35,36,36,36,36
4,32,14,13,27,27,27,26,27,27
6,48,24,20,39,38,39,38,39,39
2,16,6,8,14,14,14,14,14,14
12,48,19,19,34,34,34,34,34,34
16,32,13,14,22,22,22,22,22,22
16,32,17,15,27,27,27,27,27,27
6,48,21,21,38,38,38,38,38,38
40,80,54,32,62,63,62,61,63,63
32,64,27,39,49,49,49,49,49,49
4,32,12,18,28,27,27,28,28,28
8,16,5,9,11,11,11,11,11,11
12,48,35,14,39,39,39,39,39,39
4,16,7,10,14,14,14,14,14,14
16,64,47,22,52,52,54,53,54,54
10,80,46,32,59,62,62,62,62,62
2,16,9,10,16,16,16,16,16,16
4,16,7,7,13,13,13,12,13,13
20,80,52,31,61,64,62,63,64,64
16,32,19,16,24,24,23,23,24,24
24,48,16,25,32,32,32,32,32,32
16,32,23,13,29,29,29,29,29,29
40,80,23,59,65,65,64,64,65,65
24,48,18,33,41,41,41,41,41,41
4,16,8,10,15,15,15,15,15,15
32,64,23,36,49,49,49,48,49,49
16,64,25,36,48,47,47,48,48,48
16,64,37,30,54,55,55,54,55,55
16,32,14,16,25,25,25,25,25,25
2,16,6,8,14,14,14,14,14,14
4,16,6,11,15,15,15,15,15,15
24,48,26,22,38,38,38,38,38,38
4,32,22,14,31,29,31,30,31,31
20,80,24,60,68,70,70,70,70,70
16,64,43,24,50,52,52,52,52,52
12,48,18,26,39,39,39,37,39,39
40,80,36,42,57,57,57,56,57,57
4,16,10,8,15,14,15,15,15,15
8,16,10,4,10,10,10,10,10,10
16,64,18,44,53,53,53,52,53,53
8,64,30,27,51,52,53,52,53,53
2,16,5,13,15,15,15,15,15,15
40,80,24,56,61,61,62,62,62,62
8,16,11,8,14,14,14,14,14,14
20,80,33,50,62,62,62,61,62,62
40,80,16,60,60,60,59,59,60,60
16,32,15,13,23,23,23,23,23,23
8,16,7,12,13,13,13,13,13,13
10,80,15,65,71,70,70,70,71,71
24,48,25,14,31,30,31,31,32,32
4,16,7,9,15,15,15,14,15,15
2,16,4,9,13,13,13,12,13,13
10,80,29,50,65,67,67,67,67,67
16,32,20,17,26,26,26,26,26,26
20,80,27,56,67,66,66,67,67,67
16,32,4,23,24,24,24,24,24,24
4,16,5,11,14,14,14,14,14,14
4,16,8,7,14,14,14,13,14,14
20,80,26,53,63,64,63,62,64,64
32,64,17,43,51,51,51,51,51,51
8,32,7,25,29,29,29,29,29,29
4,32,9,24,30,30,30,29,30,30
4,16,8,6,12,12,12,12,12,12
4,32,23,11,27,27,27,27,27,27
2,16,6,12,15,15,15,15,15,15
8,64,40,28,52,54,54,54,55,55
8,16,5,8,9,9,9,9,9,9
8,16,8,6,11,11,11,11,11,11
4,16,6,10,13,13,13,12,13,13
40,80,56,20,59,59,59,58,59,59
32,64,31,30,47,47,47,47,47,47
8,64,27,37,55,58,56,56,58,58
16,64,39,29,51,51,51,51,52,52
8,16,11,6,14,14,13,14,14,14
40,80,44,32,58,58,58,58,58,57
32,64,19,47,52,52,52,52,52,52
24,48,22,28,38,38,37,37,38,38
32,64,21,39,48,48,48,48,48,48
16,64,30,37,51,50,51,50,51,51
24,48,31,14,36,36,36,36,36,36
10,80,42,33,63,64,63,62,64,64
8,16,12,8,15,15,15,15,15,15
8,32,9,29,30,29,30,29,30,30
8,32,9,23,26,26,26,26,26,26
4,32,11,23,29,29,29,29,29,29
40,80,48,39,62,65,65,65,65,65
16,64,32,28,47,46,48,47,48,48
24,48,11,31,36,36,36,36,36,36
24,48,20,28,40,39,39,39,40,40
16,64,41,26,49,51,49,48,51,51
8,32,12,19,29,29,29,29,29,29
6,48,11,34,41,41,40,40,41,41
10,80,32,47,62,62,63,63,63,63
8,16,7,10,14,14,13,13,14,14
2,16,7,7,14,14,14,13,14,14
10,80,45,33,64,65,66,65,66,66
4,16,9,10,15,15,15,15,15,15
8,64,25,29,47,49,49,49,49,49
6,48,29,22,41,42,42,41,42,42
10,80,15,57,62,61,62,61,62,62
12,48,25,21,37,37,36,35,37,37
4,32,20,15,31,32,30,29,32,32
8,32,18,12,26,25,26,25,26,26
4,32,11,22,30,30,30,29,30,30
16,64,39,23,47,48,48,46,49,49
12,48,18,25,37,37,37,36,37,37
4,16,7,10,13,13,13,13,13,13
4,32,22,13,28,27,28,28,28,28
8,64,24,34,51,50,51,50,51,51
12,48,24,30,42,41,42,41,43,43
16,32,25,16,30,30,30,29,30,30
4,32,17,14,28,28,28,28,28,28
20,80,30,48,61,62,63,62,63,63
20,80,35,53,67,69,68,68,69,69
6,48,20,35,45,45,43,44,45,45
2,16,8,11,16,16,16,16,16,16
8,32,11,27,27,27,27,27,27,27
16,32,13,23,27,27,27,27,27,27
6,48,33,19,40,41,40,40,41,41
8,16,5,8,11,11,11,11,11,11
2,16,7,8,15,15,15,15,15,15
4,32,17,13,28,29,29,28,29,29
12,48,25,24,38,37,38,38,38,38
4,32,16,17,29,29,29,29,29,29
32,64,31,41,56,57,57,57,57,56
20,80,42,42,63,64,62,61,65,65
8,16,7,8,13,13,13,13,13,13
8,32,17,12,24,24,24,24,24,24
8,64,25,33,51,52,50,52,52,52
2,16,8,5,13,13,13,13,13,13
8,64,16,38,50,50,50,50,51,51
40,80,24,66,66,65,65,65,66,66
12,48,17,28,37,37,37,37,37,37
2,16,7,7,14,14,14,14,14,14
8,32,21,15,27,27,27,27,27,27
6,48,17,26,41,41,41,41,41,41
8,32,15,19,27,27,27,27,27,27
6,48,21,28,40,41,40,39,41,41
2,16,8,12,16,16,16,16,16,16
2,16,11,5,14,14,14,14,14,14
8,16,6,11,14,14,14,14,14,14
12,48,27,23,41,41,41,40,41,41
8,64,26,39,55,56,56,56,57,57
4,32,20,17,29,29,27,27,29,29
32,64,42,30,50,50,50,50,50,50
12,48,22,19,36,36,35,35,36,36
20,80,53,28,61,63,63,63,63,63
8,16,5,8,12,12,12,12,12,12
32,64,21,39,46,45,45,45,46,46
8,64,41,23,51,51,52,51,52,52
2,16,6,7,13,13,13,13,13,13
10,80,41,40,65,69,69,66,69,69
4,16,3,11,13,13,13,13,13,13
4,32,24,11,30,31,32,31,32,32
40,80,53,31,62,64,63,62,64,64
16,32,13,20,24,24,24,24,24,24
12,48,35,11,37,36,36,37,37,37
12,48,20,26,39,40,39,38,40,40
8,64,36,24,50,50,51,51,51,51
20,80,34,52,61,61,61,61,62,62
8,32,24,10,25,25,24,25,25,25
16,64,23,40,54,54,53,54,54,54
2,16,5,9,13,13,13,13,13,13
2,16,8,8,14,13,14,14,14,14
20,80,12,66,65,64,65,65,65,65
8,64,40,28,55,58,55,55,58,58
8,32,21,12,26,25,25,25,26,26
20,80,45,42,65,68,67,66,68,68
16,32,11,22,24,23,23,23,24,24
24,48,26,25,39,39,39,38,39,39
16,32,21,18,30,30,30,29,30,30
20,80,31,56,70,73,72,72,73,73
6,48,20,26,42,44,44,43,44,44
12,48,29,24,41,41,41,41,41,41
32,64,21,38,49,49,49,49,49,49
32,64,20,45,45,45,46,45,46,46
40,80,35,40,59,60,59,59,60,59
4,16,7,7,13,13,13,13,13,13
20,80,24,56,64,62,62,62,64,64
40,80,43,36,59,59,59,59,59,59
16,64,49,20,52,52,52,52,52,52
10,80,50,44,68,73,74,72,75,75
4,32,13,23,31,30,30,30,31,31
20,80,47,37,64,66,66,65,66,66
8,16,5,12,13,13,13,13,13,13
24,48,15,24,36,36,36,36,36,36
40,80,19,51,57,56,56,56,57,57
16,64,25,47,56,55,55,55,56,56
16,32,19,16,28,28,28,28,28,28
2,16,6,12,16,16,16,16,16,16
4,16,9,6,13,13,13,12,13,13
12,48,22,23,39,39,38,38,39,39
6,48,27,22,42,43,43,42,43,43
8,16,3,11,14,14,14,14,14,14
20,80,43,35,60,60,60,58,60,60
16,32,16,15,21,21,21,21,21,21
6,48,16,29,41,40,41,39,41,41
40,80,33,46,60,59,60,60,60,60
16,32,20,12,25,25,25,25,25,25
20,80,33,48,63,62,63,62,63,63
16,32,7,21,24,24,22,23,24,24
2,16,12,7,16,16,16,16,16,16
20,80,29,51,63,63,63,63,63,63
10,80,22,57,68,69,68,68,69,69
8,32,17,15,29,29,29,29,29,29
16,64,28,32,46,45,45,45,46,46
8,16,9,8,12,12,12,12,12,12
8,32,7,22,27,27,27,27,27,27
8,32,19,13,28,28,26,28,28,28
4,16,8,10,15,15,15,15,15,15
8,64,33,28,51,51,51,51,51,51
10,80,44,38,69,73,72,72,74,74
10,80,28,45,61,61,60,61,61,61
6,48,32,15,41,43,43,43,43,43
4,32,13,18,29,30,30,30,30,30
20,80,28,54,67,68,67,67,68,68
24,48,14,32,34,34,34,34,34,34
10,80,48,34,64,66,67,64,67,67
6,48,24,21,40,41,41,39,41,41
10,80,43,36,65,67,67,67,67,67
16,32,18,14,26,26,26,26,26,26
32,64,27,37,51,52,52,51,52,52
40,80,17,65,62,62,62,62,62,62
32,64,26,37,50,50,50,50,50,50
4,32,17,14,26,26,26,26,26,26
24,48,23,31,40,40,40,39,40,40
32,64,41,23,49,49,49,48,49,49
16,32,13,14,22,22,22,22,22,22
12,48,12,33,40,40,40,40,40,40
16,64,16,42,52,53,53,52,53,53
40,80,40,42,63,62,62,63,63,63
16,64,21,45,52,52,52,52,52,52
8,16,9,10,16,16,16,16,16,16
40,80,43,31,58,60,59,58,60,60
24,48,23,25,35,35,35,35,35,35
8,32,20,16,27,27,27,27,27,27
20,80,40,47,67,69,67,69,70,70
4,32,17,12,26,26,25,26,26,26
8,16,9,10,14,14,14,14,14,14
12,48,28,16,37,37,36,36,37,37
40,80,25,55,64,64,64,64,64,64
16,32,20,18,27,27,27,27,27,27
2,16,4,10,14,14,14,14,14,14
12,48,33,16,40,41,41,41,42,42
8,64,29,36,54,53,56,55,57,57
8,64,24,33,51,50,52,52,52,52
6,48,25,18,39,39,39,38,39,39
12,48,19,29,39,37,39,39,39,39
32,64,21,45,46,45,46,46,46,46
16,64,42,26,52,51,53,52,53,53
4,16,7,8,13,13,13,13,13,13
40,80,31,59,68,68,69,69,69,69
6,48,18,30,41,41,41,40,41,41
20,80,38,37,56,57,57,57,57,57
16,64,32,34,53,52,53,53,53,53
4,16,4,9,12,12,12,12,12,12
8,32,20,14,24,24,24,23,24,24
8,16,12,7,14,14,14,14,14,14
8,16,9,7,13,13,13,13,13,13
32,64,16,44,46,46,46,46,46,46
2,16,9,8,16,16,16,16,16,16
2,16,13,7,16,16,16,16,16,16
32,64,41,19,44,44,44,44,44,44
8,64,7,53,54,54,54,54,54,54
24,48,32,13,33,33,33,33,33,33
10,80,60,29,65,69,69,68,69,68
2,16,6,7,13,13,13,13,13,13
12,48,31,16,38,38,38,37,38,38
6,48,28,18,36,36,36,37,36,36
40,80,44,39,58,58,58,58,58,58
32,64,45,19,41,41,41,41,41,41
2,16,10,7,12,11,12,12,12,12
20,80,36,45,65,66,66,65,67,66
24,48,19,30,43,43,42,43,43,43
4,16,8,7,14,14,14,14,14,14
6,48,31,14,38,39,39,39,39,39
8,16,6,15,13,12,13,13,13,13
4,32,17,14,28,29,29,29,29,29
8,16,9,7,13,13,13,13,13,13
40,80,22,66,62,61,62,62,62,62
12,48,25,24,38,38,38,38,38,38
8,64,34,28,51,51,51,52,52,52
12,48,23,24,38,39,39,39,39,39
20,80,42,42,60,62,62,61,62,62
24,48,24,26,36,36,36,35,36,36
8,64,21,40,54,55,55,55,55,55
2,16,9,6,14,14,14,14,14,14
2,16,7,6,13,13,13,13,13,13
8,32,16,13,24,24,24,24,24,24
16,32,13,23,30,29,30,30,30,30
8,16,6,10,12,12,12,12,12,12
32,64,29,35,47,46,47,47,47,46
24,48,35,11,34,34,34,34,34,34
24,48,24,28,38,38,38,38,38,38
